Manufacture Name,Country,Type,Export Shipment Count,Location,Website,Procurement Contacts,Company Phone
DHL Supply Chain Singapore Pte Ltd,Singapore,Capsules,293,1 Greenwich Dr Arc W/H Level 1 Singapore 533865,,,
Quantum Technologies Global Pte Ltd,Singapore,Capsules,282,Nan Wah Building Singapore 486127,,,
Elizabeth Arden Sea Pte Ltd,Singapore,Capsules,220,12 Tai Seng Street #05-01 Luxasia Building Singapore 534118,,,
Kato Manufacturing M Sdn Bhd,Malaysia,Capsules,89,102 Jalan Semangat PJS 13 46100 Petaling Jaya Selangor Malaysia,,,
Rousselot,Malaysia,Capsules,89,Block P-3-21 Plaza Damas Jalan Sri Hartamas 1 50480 Kuala Lumpur Malaysia,,,
Kato Manufacturing Malaysia Sdn Bhd,Malaysia,Capsules,65,Jalan Semangat Petaling Jaya Selangor Malaysia,,,
M S Rousselot M Sdn Bhd,Malaysia,Capsules,32,Block P3-21 Plaza Damas Jalan Sri Hartamas 1 50480 Kuala Lumpur Malaysia,,,
Rousselot M Sdn Bhd,Malaysia,Capsules,18,Sri Hartamas 1 50480 Kuala Lumpur Malaysia,,,
Empire International Sdn Bhd,Malaysia,Capsules,15,Jalan Kapar 42200 Klang Selangor D.E. Malaysia,,,
Food Excellence Specialist Sdn Bhd,Malaysia,Capsules,11,Tanjung Langsat Industrial Complex 81700 Pasir Gudang Johor Malaysia,,,
Vitahealth Malaysia Sdn Bhd,Malaysia,Capsules,10,No. 23 Jalan Jurunilai U1/20 Seksyen U1 Hicom Glenmarie Industrial Park 40150 Shah Alam Selangor D.E. Malaysia,,,
Mr Lee Chan Hui,Malaysia,Capsules,9,-,,,
Elegant World M Sdn Bhd,Malaysia,Capsules,6,11 Jalan TP5 Taman Perindustrian UEP 47620 Subang Jaya Selangor Darul Ehsan Malaysia,,,
Focus Network Agencies S Pte Ltd,Singapore,Candy,1762,FNA Group Building Singapore 539229,,,
Perfetti Van Melle Vietnam,Vietnam,Candy,"1,375","Lot N, Street 26, Song Than 2 Industrial Park, Di An Ward, Di An City, Binh Duong Province, Vietnam",,,
Symrise Asia Pacific Pte Ltd,Singapore,Candy,1033,226 Pandan Loop Singapore 128412,,,
Kaimay Trading Pte Ltd,Singapore,Candy,508,27 Penjuru Lane Annex Block Level 6 Singapore 609195,,,
Haribo Asia Pacific Pte Ltd,Singapore,Candy,436,83 Clemenceau Avenue 12-08 UE Square Singapore 239920,,,
Givaudan Singapore Pte Ltd,Singapore,Candy,420,1 Woodlands Avenue 8 Singapore 738972,,,
Max Coatings Sdn Bhd,Malaysia,Candy,322,No. 996 Lorong Perindustrian Bukit Minyak 11 Kawasan Perindustrian Bukit Minyak 14100 Simpang Ampat Seberang Perai Tengah Pulau Pinang,,,
International Flavors & Fragrances Greater Asia Pte Ltd,Singapore,Candy,292,4 Chin Bee Drive Singapore 619855,,,
Mondelez International AMEA Pte Ltd,Singapore,Candy,201,346 Jalan Boon Lay Singapore,,,
LB Food Sdn Bhd,Malaysia,Candy,196,48000 Rawang Selangor Malaysia,,,
YLF Food Industries M Sdn Bhd,Malaysia,Candy,178,Taman Perindustrian Cemerlang 81800 Ulu Tiram Johor Malaysia,,,
Khee San Food Industries Sdn Bhd,Malaysia,Candy,175,Seri Kembangan Selangor Darul Ehsan Malaysia,,,
Annam Distribution Pte Ltd,Singapore,Candy,164,Nankin Row China Square Central Singapore 048660,,,
Bel Vietnam,Vietnam,Candy,147,"Lot CN1, Song Than 3 Industrial Park, Phu Tan Ward, Thu Dau Mot City, Binh Duong Province, Vietnam",,,
Nicko Jeep Manufacture Sdn Bhd,Malaysia,Candy,141,Taman Gunung Mas 73000 Tampin Negeri Sembilan Malaysia,,,
CTY IPP Group S Pte Ltd,Singapore,Candy,140,-,,,
Art Tango Confectionery Co Ltd,Vietnam,Candy,136,"Lot B5/II, Road No. 2A, Vinh Loc Industrial Park, Binh Hung Hoa B Ward, Binh Tan District, Ho Chi Minh City, Vietnam",,,
Pepper Sion Pte Ltd,Singapore,Candy,134,80 Robinson Road #17-02 Singapore 068898,,,
Inova Pharmaceuticals Singapore Pte Ltd,Singapore,Candy,126,10 Eunos Road 8 Unit 08-02 Singapore Post Center (North Lobby) Singapore,,,
L'Oreal Singapore Pte Ltd,Singapore,Candy,101,#19-01/03 Singapore 049145,,,
Aalst Chocolate Pte Ltd,Singapore,Candy,99,26 Tuas Avenue 7 Singapore 639273,,,
Yan Sheung Malaysia Sdn Bhd,Malaysia,Candy,97,262 Jalan Ekoperniagaan 7 Taman Ekoperniagaan 2 Senai Airport City Johor 81400,,,
M Sugar LP,Thailand,Candy,97,4 Satrivittaya 2 Soi 6 Chockchai 4 Yaek 72 Road Ladphrao Bangkok 10230 Thailand,,,
Firmenich Asia Pvt Ltd,Singapore,Candy,95,Singapore 638377,,,
Ace Synergy International Pte Ltd,Singapore,Candy,87,Woodlands Horizon Singapore 737855,,,
Cocon Food Industries Sdn Bhd,Malaysia,Candy,82,No. 3 Lorong Ayam Didik Taman Ria Jaya 08000 Sungai Petani Kedah Malaysia,,,
International Flavors and Fragrances (Singapore),Singapore,Candy,80,4 Chin Bee Drive Singapore 619855,,,
Purac Asia Pacific Pte Ltd,Singapore,Candy,74,3 International Business Park #06-19 Nordic European Centre Singapore 609927,,,
Bel Vietnam Co Ltd,Vietnam,Candy,73,"Lot CN1, Song Than 3 Industrial Park, Phu Tan Ward, Thu Dau Mot City, Binh Duong Province, Vietnam",,,
Rinda Food Industries Sdn Bhd,Malaysia,Candy,70,Kawasan Perusahaan Bukit Minyak Pulau Pinang Malaysia,,,
SASCO,Vietnam,Candy,70,"Tan Son Nhat International Airport, Ward 2, Tan Binh District, Ho Chi Minh City, Vietnam",,,
United Foods Public Co Ltd,Thailand,Candy,64,95 Thakarm Road Samaedam Bangkhuntien Bangkok 10150 Thailand,,,
Tango Candy Co Ltd Long An Branch,Vietnam,Candy,64,"Block B, Lot 8, Road No. 5, Tan Duc Industrial Park, Duc Hoa Ha Commune, Duc Hoa District, Long An Province, Vietnam",,,
Global Point Foods Industries Sdn Bhd,Malaysia,Candy,61,Kawasan Perindustrian Makmur 09600 Lunas Kedah Malaysia,,,
Ferrero Asia Pacific Pte Ltd,Singapore,Candy,60,89 Science Park Drive #04-13/20 The Rutherford Lobby C Singapore,,,
Cong Ty TNHH Gojo Paper Vietnam,Vietnam,Candy,59,"Plot 304, Road 7A, Amata Industrial Park, Long Binh Ward, Bien Hoa City, Dong Nai Province, Vietnam",,,
Tan King Sun One Member Co Ltd,Vietnam,Candy,32,"No. 03B Group 3, Hoa Hung 4 Street, Hoa Hung Quarter, An Hoa Ward, Trang Bang Town, Tay Ninh Province, Vietnam",,,
Long Hung Phat Trading Service Co Ltd,Vietnam,Candy,30,"656/21 Cach Mang Thang Tam Street, Ward 11, Ho Chi Minh City, Vietnam",,,
Comfort Dynasty Inc,Vietnam,Candy,26,"Suite 2, 3rd Floor, No. 10 Eva Street, Belize City, Belize",,,
Jongkol Products Co Ltd,Thailand,Candy,25,38/156 Moo 4 Tambon Takai Amphoe Muang Chachoengsao 24000 Thailand,,,
Jelly Belly Candy Company TH Ltd,Thailand,Candy,21,64-206 Moo 4 Tambon Pluakdaeng Amphur Pluakdaeng Rayong 21140 Thailand,,,
Tropical Fruits Fusion Co Ltd,Thailand,Candy,8,-,,,
Jebelly Candy Company Thailand Ltd,Thailand,Candy,5,-,,,
